year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2008,5,25,8,21,48.7,7881,10,6.0,0,CHINA,,32.57,105.424,30,8,1,0,0,927,3,0,4,400000,4,400000,4,8,0,927,0,400000,0,CHINA:  SICHUAN PROVINCE
2008,5,26,15,1,33.6,8123,13,5.6,0,COSTA RICA,,8.423,-82.968,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PANAMA-COSTA RICA
2008,5,27,8,37,51.5,8124,10,5.7,0,CHINA,,32.71,105.54,30,0,0,0,0,0,0,0,3,20000,4,20000,4,0,0,0,0,20000,0,CHINA:  SICHUAN PROVINCE
2008,5,29,15,46,0.4,7880,10,6.3,0,ICELAND,,64.004,-21.012,120,0,0,0,0,30,1,0,1,0,0,0,0,0,0,30,0,0,0,ICELAND: REYKJAVIK
2008,6,6,20,2,56.8,8125,4,5.5,0,ALGERIA,,35.883,-0.658,15,1,1,0,0,30,1,0,2,0,2,0,2,1,0,30,0,0,0,ALGERIA:  ORAN
2008,6,6,21,16,33.8,8126,11,3.8,0,INDIA,,24.702,84.964,60,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,INDIA:  MANPUR
2008,6,8,12,25,29.7,7925,16,6.3,0,GREECE,,37.963,21.525,130,2,1,0,0,240,3,0,3,1156,4,0,0,2,0,240,0,1156,0,"GREECE:  ACHAIA, ILEIA"
2008,6,13,23,43,45.3,7907,8,6.9,0,JAPAN,,39.03,140.881,30,13,1,0,0,357,3,0,3,0,0,614,3,13,0,357,0,0,614,JAPAN:  HONSHU:  TOKYO
2008,7,1,0,17,33.2,8120,33,5.5,0,PERU,,-10.368,-75.512,160,0,0,0,0,45,1,0,1,60,1,25,1,0,0,45,0,60,25,"PERU:  CENTRAL:  OXAPAMPA, HUANCABAMBA"
2008,7,3,23,10,2.0,8121,10,5.0,0,IRAN,,35.5,58.8,140,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,IRAN:  NE:  KATKAN
