year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,3,28,11,0,22,127,7.6,0,,JAPAN:  VOLCANO ISLANDS,22.338,143.73,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,1,7,1,55,10,6.1,0,,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,30,1,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0
2000,7,15,1,30,30,10,6.1,0,,JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,30,0,0,0,0,10,1,0,1,0,0,20,1,0,0,10,0,0,20
2000,7,30,12,25,45,10,6.5,0,,JAPAN:  HONSHU:  S,33.901,139.376,30,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
2000,10,6,4,30,19,10,6.7,9,,"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,30,0,0,0,0,130,3,150,4,104,3,2230,4,0,0,130,150,104,2230
2001,3,24,6,27,53,50,6.8,9,,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,30,2,1,0,0,161,3,500,4,0,0,3700,4,2,0,161,500,0,3700
2002,3,26,3,45,48,33,6.4,0,,JAPAN:  RYUKYU ISLANDS,23.346,124.09,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,5,26,9,24,33,68,7.0,0,,"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,30,0,0,0,0,143,3,233,4,0,0,720,3,0,0,143,233,0,720
2003,7,25,15,13,7,10,5.5,0,,"JAPAN:  HONSHU:  MIYAGI, IWATE",38.432,141.003,30,0,0,0,0,569,3,411,4,0,0,1025,4,0,0,569,411,0,1025
2003,9,20,3,54,50,52,5.7,0,,JAPAN:  HONSHU:  TOKYO,34.998,140.172,30,0,0,0,0,7,1,0,1,0,0,0,2,0,0,7,0,0,0
2003,9,25,19,50,6,27,8.3,0,,JAPAN:  HOKKAIDO,41.815,143.91,30,0,0,0,0,755,3,90,4,0,0,0,0,0,0,755,90,0,0
2003,10,15,7,30,35,78,5.2,0,,JAPAN:  NEAR S COAST HONSHU:  ATSUGI,35.457,139.871,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,10,31,1,6,28,10,7.0,0,,JAPAN:  EAST COAST HONSHU,37.812,142.619,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,9,5,10,7,7,14,7.2,0,,JAPAN:  HONSHU:  W COAST: KYOTO,33.07,136.618,30,0,0,0,0,4,1,0,1,0,0,0,0,0,0,4,0,0,0
2004,9,5,14,57,18,10,7.4,0,,"JAPAN:  HONSHU:  W COAST: KYOTO, WAKAYAMA, SAKAI",33.184,137.071,30,0,0,0,0,40,1,0,1,0,0,0,0,0,0,40,0,0,0
2004,10,23,8,56,0,16,6.6,0,,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.226,138.779,30,40,1,0,0,3183,4,28000,4,6000,4,0,0,40,0,3183,28000,6000,0
2004,10,27,1,40,50,14,5.9,0,,JAPAN:  HONSHU:  NIIGATA PREFECTURE,37.284,138.885,30,0,0,0,0,5,1,0,1,1,1,0,0,0,0,5,0,1,0
