year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2002,1,2,17,22,48.7,5614,21,7.2,0,VANUATU,,-17.6,167.856,170,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,"VANUATU ISLANDS:  EFATE, PORT VILA"
2002,1,9,6,45,57.5,5615,33,5.3,0,TAJIKISTAN,,38.673,69.902,40,3,1,0,0,50,1,0,2,0,0,209,3,3,0,50,0,0,209,TAJIKISTAN:  ROGHUN
2002,1,10,11,14,56.9,5616,11,6.7,0,PAPUA NEW GUINEA,,-3.212,142.427,170,1,1,0,0,0,0,0,2,200,3,0,0,1,0,0,0,200,0,PAPUA NEW GUINEA:  AITAPE
2002,1,14,15,36,26.4,5617,33,5.6,0,CHILE,,-19.384,-69.231,160,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE"
2002,1,17,20,1,29.2,5618,15,4.7,0,RWANDA,,-1.684,29.077,10,0,1,0,0,0,0,0,2,307,0,0,0,1001,0,400,0,307,0,RWANDA:  GISENYI
2002,1,30,8,42,3.4,5619,109,5.9,0,MEXICO,,18.194,-95.908,150,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC"
2002,2,3,7,11,28.4,5620,5,6.5,0,TURKEY,,38.573,31.271,140,44,1,0,0,318,3,0,2,0,0,0,0,44,0,318,0,0,622,TURKEY:  AFYON
2002,2,3,20,59,27.6,5621,44,4.9,0,TAJIKISTAN,,38.773,69.924,40,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,TAJIKISTAN:  ROGHUN
2002,2,17,13,3,52.7,5622,33,5.4,0,IRAN,,28.093,51.755,140,1,1,0,0,30,1,0,2,0,0,0,0,1,0,30,0,0,0,IRAN:  BAGHAN
2002,2,22,19,32,41.7,5623,7,5.5,0,MEXICO,,32.319,-115.322,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"MEXICO:  MEXICALI, BAJA CALIFORNIA"
2002,3,3,12,8,19.7,5624,226,7.4,0,AFGHANISTAN,,36.502,70.482,40,166,3,0,0,0,2,0,3,300,3,300,3,166,0,0,0,300,400,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ"
2002,3,5,21,16,9.1,5625,31,7.5,0,PHILIPPINES,,6.033,124.249,170,15,1,0,0,100,2,1,2,0,0,800,3,15,0,100,1,0,800,PHILIPPINES:  MINDANAO
2002,3,25,14,56,33.8,5626,8,6.1,0,AFGHANISTAN,,36.062,69.315,40,1000,3,0,0,200,3,0,4,1500,4,1500,4,1000,0,200,0,1500,0,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN"
2002,3,26,3,45,48.7,6821,33,6.4,0,JAPAN,,23.346,124.09,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAPAN:  RYUKYU ISLANDS
2002,3,31,6,52,50.4,5627,33,7.1,0,TAIWAN,,24.279,122.179,30,5,1,0,0,200,3,0,2,100,2,0,0,5,0,200,0,100,0,TAIWAN:  TAIPEI
2002,4,1,19,59,32.4,5628,71,6.4,0,CHILE,,-29.67,-71.384,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE"
2002,4,12,4,0,23.7,5629,10,5.9,0,TAJIKISTAN,,39.959,69.417,40,50,1,0,0,150,3,0,2,160,3,160,3,50,0,150,0,160,250,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN
2002,4,18,16,8,36.7,5630,62,6.6,0,CHILE,,-27.535,-70.586,160,0,0,0,0,19,1,0,2,34,1,575,3,0,0,19,0,34,575,"CHILE:  COPIAPO, TALTAL"
2002,4,20,10,50,47.5,5631,11,5.2,7,USA,NY,44.513,-73.699,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS"
2002,4,24,10,51,50.9,5632,10,5.7,0,SERBIA,,42.436,21.466,130,1,1,0,0,60,2,0,1,0,0,0,0,1,0,60,0,0,0,BALKANS NW:  KOSOVO; MACEDONIA:  N
2002,4,24,19,48,7.1,5633,33,5.4,0,IRAN,,34.642,47.4,140,2,1,0,0,56,2,0,4,0,4,0,4,2,0,56,0,0,0,IRAN:  WESTERN:  KERMANSHAH
2002,4,25,17,41,21.5,5634,10,4.3,0,GEORGIA,,41.765,44.96,40,5,1,0,0,52,2,0,3,0,0,2400,4,5,0,52,0,0,2400,GEORGIA:  TBILISI
2002,4,26,16,6,7.0,5635,86,7.1,7,USA TERRITORY,GU,13.088,144.619,170,0,0,0,0,5,1,0,1,0,0,0,0,0,0,5,0,0,0,GUAM
2002,5,18,15,15,8.8,5636,10,5.5,0,TANZANIA,,-2.907,33.733,10,2,1,0,0,0,0,0,2,690,3,700,3,2,0,0,0,690,700,TANZANIA:  BUNDA
2002,5,28,4,4,22.5,5637,22,6.0,0,ARGENTINA,,-28.937,-66.797,160,0,0,0,0,27,1,0,2,40,1,40,1,0,0,27,0,40,0,"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS"
2002,6,20,5,40,43.3,5638,40,4.5,0,BANGLADESH,,25.842,88.932,60,0,0,0,0,55,2,0,1,0,0,0,2,0,0,55,0,0,0,"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR"
2002,6,22,2,58,21.3,5639,10,6.5,8,IRAN,,35.626,49.047,140,261,3,0,0,1300,4,300,4,0,4,0,4,261,0,1300,300,4,0,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU
2002,7,22,5,45,3.0,5573,17,4.8,0,GERMANY,,50.889,6.103,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM"
2002,7,31,0,16,44.6,5641,10,6.5,7,PANAMA,,7.929,-82.793,100,0,0,0,0,11,1,0,2,0,2,0,3,0,0,11,0,0,0,"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL"
2002,8,8,11,42,5.0,5642,33,5.3,0,CHINA,,30.916,99.927,30,0,0,0,0,0,0,0,1,8,1,8,1,0,0,0,0,8,0,CHINA:  SICHUAN PROVINCE:  RULONG
2002,8,14,13,57,52.1,5643,30,6.5,0,USA TERRITORY,MP,14.101,146.199,170,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NORTHERN MARIANA ISLANDS:  SAIPAN
2002,8,15,5,30,26.2,5644,10,6.2,0,INDONESIA,,-1.196,121.333,170,48,1,0,0,0,0,0,2,0,0,200,3,48,0,0,0,0,200,INDONESIA:   SULAWESI:  TOJO
2002,8,19,11,1,1.1,8953,580,7.7,0,FIJI,,-21.696,-179.513,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIJI ISLANDS
2002,8,19,11,8,24.3,8954,675,7.7,0,FIJI,,-23.884,178.495,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FIJI ISLANDS
2002,8,24,20,1,18.3,5645,10,4.4,0,EGYPT,,30.2,31.41,15,0,0,0,0,0,0,0,1,0,0,44,1,0,0,0,0,0,44,EGYPT:  CAIRO
2002,9,2,1,0,3.2,5646,10,5.2,0,IRAN,,35.701,48.838,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"IRAN: KAK, RAZAN, SIZAN"
2002,9,5,11,3,5.8,5647,32,5.5,0,KYRGYZSTAN,,39.77,72.007,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KYRGYZSTAN
2002,9,6,1,21,28.6,5648,5,6.0,0,ITALY,,38.381,13.701,130,2,1,0,0,20,1,500,4,0,0,0,2,2,0,20,500,0,0,ITALY:  SICILY:  PALERMO
2002,9,8,18,44,25.5,5649,13,7.6,0,PAPUA NEW GUINEA,,-3.26,142.94,170,4,1,0,0,70,2,0,3,0,1,873,3,4,0,70,0,0,873,"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK"
2002,9,13,22,28,29.4,5650,21,6.5,0,INDIA,,13.036,93.068,60,2,1,0,0,0,0,0,1,40,1,0,1,2,0,0,0,40,0,"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY"
2002,9,20,15,43,35.4,5651,10,6.4,0,INDONESIA,,-1.68,134.234,170,0,0,0,0,0,0,0,1,0,0,31,1,0,0,0,0,0,31,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI
2002,9,22,23,53,14.6,5652,9,4.8,6,UK,,52.52,-2.15,120,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"UNITED KINGDOM:  MANSFIELD, DUDLEY"
2002,9,25,18,14,48.5,5653,6,5.3,0,MEXICO,,16.87,-100.113,150,0,0,0,0,2,1,0,1,0,0,0,2,0,0,2,0,0,0,MEXICO:  ACAPULCO
