year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,10,30,22,39,6,33,5.1,0,,AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,800
2001,6,1,14,0,43,62,5.0,0,,AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,40,4,1,0,0,20,1,0,1,0,2,0,2,4,0,20,0,0,0
2002,3,3,12,8,19,226,7.4,0,,"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,40,166,3,0,0,0,2,0,3,300,3,300,3,166,0,0,0,300,400
2002,3,25,14,56,33,8,6.1,0,,"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,40,1000,3,0,0,200,3,0,4,1500,4,1500,4,1000,0,200,0,1500,0
2002,12,25,19,13,42,91,5.5,0,,AFGHANISTAN:  JALALABAD,35.704,69.868,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,4,5,21,24,4,187,6.5,0,,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.512,71.029,40,3,1,0,0,5,1,0,0,0,0,0,0,3,0,5,0,0,0
2004,7,14,14,36,2,0,4.6,0,,AFGHANISTAN: HERAT,34.89,61.852,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,150
2004,7,18,8,31,45,10,5.2,0,,AFGHANISTAN: PAKTIA PROVINCE,33.426,69.524,40,2,1,0,0,40,1,0,3,0,3,0,3,2,0,40,0,0,0
2005,12,12,21,47,46,225,6.5,0,,"AFGHANISTAN:  TILI, JALALABAD, BADAKHSHAN",36.357,71.093,40,5,1,0,0,1,1,0,1,100,2,100,2,5,0,1,0,100,0
2008,12,29,3,37,41,158,5.8,0,,"AFGHANISTAN; PAKISTAN:  MANSEHRA, SHANGLA",36.401,71.075,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,4,16,21,27,51,6,5.4,0,,AFGHANISTAN:  NANGARHAR,34.185,70.076,40,19,1,0,0,51,2,0,2,200,3,200,3,19,0,51,0,200,0
2009,10,22,19,51,27,18,6.1,0,,AFGHANISTAN:  HINDU KUSH,36.517,70.95,40,5,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
2010,4,18,20,28,50,13,5.6,0,,AFGHANISTAN:  SAMANGAN PROVINCE,35.633,67.658,40,11,1,0,0,70,2,0,4,2000,4,0,0,11,0,70,0,2000,0
2012,6,11,5,29,11,16,5.8,0,,AFGHANISTAN:  HINDU KUSH,36.023,69.351,40,75,2,0,0,13,1,0,2,143,3,593,3,75,0,13,0,143,593
2013,4,24,9,25,30,64,5.5,0,,AFGHANISTAN:  KAMA,34.526,70.22,40,18,1,0,0,141,3,0,2,0,0,676,3,18,0,141,0,0,676
2015,10,26,9,9,56,231,7.5,7,,AFGHANISTAN: HINDU KUSH,36.524,70.368,40,399,3,0,0,1770,4,109,4,29230,4,79893,4,399,0,1770,109,29230,79893
2015,12,25,19,14,19,206,6.3,5,,AFGHANISTAN; PAKISTAN,36.494,71.126,40,4,1,0,0,97,2,0,1,0,1,0,1,4,0,97,0,0,0
2016,4,10,10,28,58,212,6.6,0,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.472,71.131,40,6,1,0,0,5,1,0,1,0,0,20,1,6,0,5,0,0,20
