year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2000,1,3,22,34,12.6,5551,33,4.6,0,INDIA,,22.132,92.771,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,INDIA-BANGLADESH BORDER:  MAHESHKHALI
2000,1,11,23,43,56.4,5552,10,5.1,0,CHINA,,40.498,122.994,30,0,0,0,0,30,1,0,3,3600,4,8800,4,0,0,30,0,3600,8800,CHINA:  LIAONING PROVINCE
2000,1,14,23,37,7.8,5553,33,5.9,0,CHINA,,25.607,101.063,30,5,1,0,0,2528,4,73,4,41000,4,0,0,7,0,2528,73,41000,0,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY
2000,2,2,22,58,1.5,5554,33,5.3,0,IRAN,,35.288,58.218,140,1,1,0,0,15,1,0,2,100,2,100,2,1,0,15,0,100,300,"IRAN:  BARDASKAN, KASHMAR"
2000,2,7,19,34,57.0,5555,5,4.5,0,SOUTH AFRICA,,-26.288,30.888,10,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI
2000,3,28,11,0,22.5,5556,127,7.6,0,JAPAN,,22.338,143.73,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAPAN:  VOLCANO ISLANDS
2000,4,5,4,36,58.8,7301,38,5.5,0,GREECE,,34.22,25.69,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GREECE:  CRETE
2000,5,4,4,21,16.2,5557,26,7.6,0,INDONESIA,,-1.105,123.573,170,46,1,0,0,264,3,30,4,10000,4,0,0,46,0,264,30,10000,0,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,"
2000,5,7,23,10,54.1,5558,5,4.1,0,TURKEY,,38.164,38.777,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,200,"TURKEY:  DOGANYOL, PUTURGE"
2000,5,17,3,25,48.7,5559,10,5.4,0,TAIWAN,,24.223,121.058,30,3,1,0,0,13,1,0,1,0,0,0,0,3,0,13,0,0,0,TAIWAN:  TAI-CHUNG COUNTY
2000,6,4,16,28,26.1,5560,33,7.9,6,INDONESIA,,-4.721,102.087,170,103,3,0,0,2174,4,6,3,0,0,0,0,103,0,2174,6,0,0,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO"
2000,6,6,2,41,49.8,5561,10,6.0,7,TURKEY,,40.693,32.992,140,2,1,0,0,80,2,0,3,0,0,0,0,2,0,80,0,0,4600,"TURKEY:  CERKES, CUBUK, ORTA"
2000,6,7,21,46,55.9,5562,33,6.3,0,CHINA,,26.856,97.238,30,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR
2000,6,7,23,45,26.6,5563,33,6.7,0,INDONESIA,,-4.612,101.905,170,1,1,0,0,0,0,0,2,0,0,600,3,1,0,0,0,0,600,INDONESIA:  SOUTHERN SUMATERA:  LAHAT
2000,6,10,18,23,29.3,5564,33,6.4,0,TAIWAN,,23.843,121.225,30,2,1,0,0,36,1,0,1,0,0,0,0,2,0,36,0,0,0,TAIWAN:  NAN-TOU
2000,6,17,15,40,41.7,8209,10,6.5,0,ICELAND,,63.966,-20.487,120,0,0,0,0,1,1,20,3,11,1,11,1,0,0,1,20,11,19,"ICELAND:  VESTMANNAEYJAR, HELLA"
