year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2002,11,1,22,9,29,33,5.4,0,,PAKISTAN:  GILGIT,35.517,74.654,60,11,1,0,0,40,1,0,3,0,3,0,3,11,0,40,0,0,1000
2002,11,20,21,32,30,33,6.3,0,,"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,60,19,1,0,0,40,1,0,3,100,2,100,2,19,0,40,0,100,1256
2004,2,14,10,30,22,11,5.4,0,,"PAKISTAN:  BALAKOT, BATGRAM, MANSEHRA",34.774,73.216,60,24,1,0,0,40,1,0,3,1420,4,1420,4,24,0,40,0,1420,5379
2004,5,8,20,11,44,10,4.5,0,,PAKISTAN:  QUETTA,30.126,67.121,60,1,1,0,0,30,1,0,1,0,0,0,0,1,0,30,0,0,0
2005,3,2,11,12,14,52,4.9,0,,PAKISTAN:  QUETTA,30.378,68.038,60,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
2005,10,8,3,50,40,26,7.6,8,,"PAKISTAN:  MUZAFFARABAD, URI, ANANTNAG, BARAMULA",34.539,73.588,60,76213,4,0,0,146599,4,6680,4,0,3,0,3,76213,0,146599,6680,0,0
2006,3,10,7,50,14,10,4.9,0,,PAKISTAN:  MIRPUR DISTRICT,33.129,73.887,60,1,1,0,0,22,1,0,0,0,0,0,0,1,0,22,0,0,0
2006,4,4,9,12,23,10,4.8,0,,PAKISTAN:  BATGRAM,34.6,73.136,60,0,0,0,0,28,1,0,1,0,2,0,2,0,0,28,0,0,0
2007,10,26,6,50,6,10,4.8,0,,PAKISTAN:  GHANCHE,35.304,76.753,60,1,1,0,0,12,1,0,0,0,0,0,0,1,0,12,0,0,0
2008,10,28,23,9,57,15,6.4,0,,PAKISTAN:  QUETTA,30.639,67.351,60,166,3,0,0,370,3,0,4,3487,4,3487,4,166,0,370,0,3487,4125
2008,10,29,11,32,43,14,6.4,0,,PAKISTAN:  ZIARAT,30.598,67.455,60,0,0,0,0,1,1,0,2,0,2,0,2,0,0,1,0,0,0
2009,2,20,3,48,48,10,5.4,0,,PAKISTAN; INDIA:  KASHMIR,34.204,73.899,60,0,0,0,0,44,1,0,1,0,0,0,0,0,0,44,0,0,0
2010,10,10,21,44,25,33,5.2,0,,"PAKISTAN:  KHANPUR, HARIPUR",33.869,72.887,60,1,1,0,0,15,1,0,2,0,0,100,1,1,0,15,0,0,100
2010,11,12,9,37,19,27,4.7,0,,PAKISTAN:  QUETTA,30.178,67.117,60,0,0,0,0,12,1,0,1,0,0,0,2,0,0,12,0,0,0
2011,1,18,20,23,23,68,7.2,0,,"PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",28.777,63.951,60,3,1,0,0,0,2,0,2,200,3,200,3,3,0,0,0,0,200
2013,9,24,11,30,37,15,7.7,4,,"PAKISTAN:  AWARAN, KECH",26.951,65.501,60,825,3,0,0,619,3,0,4,32638,4,14118,4,825,0,619,0,32638,14118
2013,9,28,7,34,45,12,6.8,0,,PAKISTAN: AWARAN,27.183,65.505,60,22,1,0,0,50,1,0,0,0,2,0,2,22,0,50,0,0,0
2014,5,8,22,52,23,15,4.5,0,,PAKISTAN:  NAWABSHAH,26.387,68.358,60,2,1,0,0,70,2,0,1,0,2,0,0,2,0,70,0,0,0
2015,2,26,21,59,14,30,5.4,4,,PAKISTAN:  BATTAGRAM,34.671,73.278,60,0,0,0,0,5,1,0,1,0,0,2,1,0,0,5,0,0,2
2015,7,24,20,59,12,17,5.1,5,,PAKISTAN:  ABBOTTABAD,33.856,73.193,60,3,1,0,0,1,1,0,1,3,1,0,0,3,0,1,0,3,0
2016,10,1,8,4,34,10,5.4,0,,"PAKISTAN:  MANSEHRA, NARAN",34.905,73.682,60,1,1,0,0,0,2,0,1,0,2,0,0,1,0,0,0,0,0
2017,2,7,22,3,56,26,6.3,0,,PAKISTAN:  PASNI,25.216,63.272,60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
