year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2016,1,3,23,5,27.0,10170,55,6.7,7,INDIA,,24.804,93.651,60,13,1,0,0,100,2,0,1,0,0,0,2,13,0,100,0,0,0,INDIA:  IMPAHL
2016,1,16,23,22,4.0,10171,4,5.6,3,INDONESIA,,-3.873,127.229,170,1,1,0,0,22,1,0,1,0,0,230,3,1,0,22,0,0,230,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND"
2016,1,24,10,30,56.0,10172,126,7.1,6,USA,AK,59.658,-153.452,150,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,4,0,ALASKA:  KENAI
2016,1,25,4,23,13.0,10173,12,6.3,6,MOROCCO,,35.649,-3.682,15,1,1,0,0,26,1,0,1,0,1,0,1,1,0,26,0,0,0,MOROCCO:  MELILLA
2016,2,5,19,57,6.0,10174,10,6.4,7,TAIWAN,,22.97,120.46,30,117,3,0,0,525,3,0,3,0,1,0,1,117,0,525,0,0,0,TAIWAN:  TAINAN
2016,3,2,12,49,11.0,10175,24,7.8,5,INDONESIA,,-4.952,94.33,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INDONESIA: SUMATRA:
2016,4,10,10,28,58.0,10186,212,6.6,0,AFGHANISTAN,,36.472,71.131,40,6,1,0,0,5,1,0,1,0,0,20,1,6,0,5,0,0,20,AFGHANISTAN:  KHYBER PAKHTUNKHWA
2016,4,15,16,25,6.0,10177,10,7.0,0,JAPAN,,32.782,130.726,30,50,1,0,0,1500,4,4600,4,80000,4,0,0,50,0,1500,4600,80000,0,"JAPAN:  KUMAMOTO, OITA"
2016,4,16,23,58,36.0,10176,21,7.8,0,ECUADOR,,0.382,-79.922,160,663,3,9,1,6274,4,3300,4,6998,4,29672,4,663,9,6274,3300,6998,29672,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS"
2016,4,28,19,33,24.0,10179,27,7.0,0,VANUATU,,-16.074,167.393,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VANUATU ISLANDS
2016,5,11,1,15,47.0,10178,10,5.5,0,CHINA,,32.038,94.987,40,0,0,0,0,60,2,0,1,0,1,0,0,0,0,60,0,0,0,CHINA:  TIBET (XIZANG PROVINCE)
2016,5,18,16,46,11.0,10181,31,6.8,0,ECUADOR,,0.465,-79.641,160,1,1,0,0,162,3,0,1,0,1,32,1,1,0,162,0,0,32,ECUADOR:  MANABI PROVINCE
2016,6,7,19,15,16.0,10185,38,6.3,0,INDONESIA,,1.295,126.355,170,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,INDONESIA:  MALUKU:  TERNATE ISLAND
2016,7,1,14,58,55.0,10187,10,5.4,0,TAJIKISTAN,,38.883,70.626,40,0,0,0,0,0,0,0,1,0,0,31,1,0,0,0,0,31,0,TAJIKISTAN:  RASHT
2016,7,29,21,18,25.0,10188,212,7.7,0,USA TERRITORY,MP,18.515,145.529,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTHERN MARIANA ISLANDS
2016,7,31,23,40,,10189,10,5.9,0,INDONESIA,,-8.218,117.816,60,0,0,0,0,4,1,0,2,0,0,700,3,0,0,4,0,0,700,INDONESIA:  SUMBAWA ISLAND:  WEST NUSA TENGGARA
2016,8,12,1,26,35.0,10190,10,7.2,0,NEW CALEDONIA,,-22.495,173.111,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW CALEDONIA:  LOYALTY ISLANDS
2016,8,15,2,58,59.0,10191,10,5.4,0,PERU,,-15.613,-71.671,160,4,1,0,0,67,2,0,1,689,3,1291,3,4,0,67,0,689,1291,PERU:  AREQUIPA
