year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2001,1,1,6,57,4.1,8952,33,7.5,0,PHILIPPINES,,6.898,126.579,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHILIPPINES:  MINDANAO
2001,1,13,17,33,32.3,5587,60,7.7,8,EL SALVADOR,,13.049,-88.66,100,844,3,0,0,4723,4,753,4,108226,4,169632,4,844,0,4723,753,108226,169632,EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.
2001,1,26,3,16,40.5,5589,16,7.7,10,INDIA,,23.419,70.232,60,20005,4,0,0,166836,4,2623,4,339000,4,339000,4,20005,0,166836,2623,339000,0,"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN"
2001,2,13,14,22,5.8,5592,10,6.6,6,EL SALVADOR,,13.671,-88.938,100,315,3,0,0,3399,4,348,4,41302,4,15706,4,315,0,3399,348,41302,15706,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP
2001,2,23,0,9,23.6,5593,33,5.6,0,CHINA,,29.513,101.129,30,3,1,0,0,109,3,0,3,60000,4,60000,4,3,0,109,0,60000,0,"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG"
2001,2,28,18,54,32.8,5595,52,6.8,8,USA,WA,47.149,-122.727,150,1,1,0,0,400,3,2000,4,0,0,0,0,1,0,400,2000,0,0,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA"
2001,3,24,6,27,53.5,5596,50,6.8,9,JAPAN,,34.083,132.526,30,2,1,0,0,161,3,500,4,0,0,3700,4,2,0,161,500,0,3700,"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA"
2001,5,8,18,2,16.9,5597,10,5.7,0,EL SALVADOR,,13.605,-88.795,100,1,1,0,0,0,0,0,2,84,2,70,2,1,0,0,0,84,70,EL SALVADOR:  CONCHAGUA
2001,5,23,21,10,43.9,5598,33,5.5,0,CHINA,,27.689,101.003,30,2,1,0,0,605,3,36,4,0,0,0,0,2,0,605,36,0,0,CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN
2001,6,1,14,0,43.6,5599,62,5.0,0,AFGHANISTAN,,35.169,69.389,40,4,1,0,0,20,1,0,1,0,2,0,2,4,0,20,0,0,0,AFGHANISTAN:  HINDU KUSH:  PARVAN
2001,6,23,20,33,14.1,5601,33,8.4,8,PERU,,-16.265,-73.641,160,77,2,68,2,2713,4,0,4,22399,4,0,0,103,138,2713,200,25399,0,"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO"
2001,6,25,13,28,46.5,5602,5,5.5,0,TURKEY,,37.238,36.206,140,0,0,0,0,130,3,0,1,0,0,0,0,0,0,130,0,0,66,TURKEY:  OSMANIYE
2001,7,5,13,53,48.3,5603,62,6.6,0,PERU,,-16.086,-73.987,160,0,0,0,0,0,0,0,2,300,3,0,0,0,0,0,0,300,0,"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA"
2001,7,7,9,38,43.5,5604,33,7.6,0,PERU,,-17.543,-72.077,160,1,1,0,0,30,1,0,2,200,3,0,0,1,0,30,0,200,0,"PERU:  AREQUIPA, ARICA"
2001,7,14,18,36,8.3,5605,33,4.3,0,CHINA,,24.455,102.66,30,0,0,0,0,2,1,0,1,150,3,150,3,0,0,2,0,150,0,CHINA:  YUNNAN PROVINCE:  JIANGCHUAN
2001,7,26,0,21,36.9,5606,10,6.5,0,GREECE,,39.059,24.244,130,0,0,0,0,0,0,0,1,0,0,100,2,0,0,0,0,0,100,GREECE:  SKYROS
2001,8,9,2,6,59.9,5607,33,5.8,0,PERU,,-14.258,-72.683,160,4,1,0,0,15,1,0,2,0,3,0,0,4,0,15,0,0,0,PERU:  ANTABAMA
2001,9,9,23,59,18.0,5608,5,4.2,6,USA,CA,34.059,-118.387,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CALIFORNIA:  LOS ANGELES
