year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2005,1,24,23,23,26,17,6.1,0,,"ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO",-1.364,-80.785,160,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
2005,10,24,17,35,33,35,4.8,6,,ECUADOR:  BAEZA,-0.507,-77.745,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,7,13,7,20,25,50,4.5,0,,ECUADOR:  ZARUMA,-3.987,-79.836,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,11,16,3,13,0,123,6.8,0,,PERU-ECUADOR:  GUAYAQUIL,-2.312,-77.838,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,10,9,18,11,39,35,5.4,0,,ECUADOR:  TENA,-0.962,-77.817,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,8,12,11,54,15,207,7.1,0,,"ECUADOR:  MANTA, GUAYAQUIL, LOJA",-1.266,-77.306,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,10,29,13,50,49,3,4.0,0,,ECUADOR:  POMASQUI,-0.13,-78.37,160,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2014,8,12,19,58,13,12,5.1,5,,ECUADOR:  QUITO,-0.018,-78.322,160,2,1,0,0,8,1,0,1,0,0,89,2,2,0,8,0,0,89
2016,4,16,23,58,36,21,7.8,0,,"ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS",0.382,-79.922,160,663,3,9,1,6274,4,3300,4,6998,4,29672,4,663,9,6274,3300,6998,29672
2016,5,18,16,46,11,31,6.8,0,,ECUADOR:  MANABI PROVINCE,0.465,-79.641,160,1,1,0,0,162,3,0,1,0,1,32,1,1,0,162,0,0,32
2016,12,19,7,11,39,10,5.4,0,,ECUADOR:  ESMERALDAS,0.816,-79.74,160,3,1,0,0,0,0,0,1,10,1,65,1,3,0,15,0,10,65
