year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,5,7,23,10,54,5,4.1,0,,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,140,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,200
2000,6,6,2,41,49,10,6.0,7,,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,140,2,1,0,0,80,2,0,3,0,0,0,0,2,0,80,0,0,4600
2000,12,15,16,44,47,10,6.0,7,,TURKEY:  AFYON-BOLVADIN,38.457,31.351,140,6,1,0,0,41,1,0,1,0,0,0,0,6,0,41,0,0,0
2001,6,25,13,28,46,5,5.5,0,,TURKEY:  OSMANIYE,37.238,36.206,140,0,0,0,0,130,3,0,1,0,0,0,0,0,0,130,0,0,66
2002,2,3,7,11,28,5,6.5,0,,TURKEY:  AFYON,38.573,31.271,140,44,1,0,0,318,3,0,2,0,0,0,0,44,0,318,0,0,622
2003,1,27,5,26,23,10,6.1,0,,"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,140,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0
2003,4,10,0,40,15,10,5.7,0,,"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,140,0,0,0,0,90,2,0,2,0,2,0,2,0,0,90,0,0,0
2003,5,1,0,27,4,10,6.4,0,,TURKEY:  BINGOL,39.007,40.464,140,177,3,0,0,521,3,0,3,718,3,718,3,177,0,521,0,718,2593
2003,7,26,1,0,57,10,4.5,0,,TURKEY:  WESTERN:  BULDAN,38.111,28.887,140,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,48
2003,7,26,8,36,49,10,5.4,0,,TURKEY:  WESTERN:  BULDAN,38.019,28.927,140,0,0,0,0,10,1,0,1,1,1,1,1,0,0,10,0,1,0
2004,3,25,19,30,49,0,5.6,0,,TURKEY:  ERZURUM,39.93,40.812,140,10,1,0,0,46,1,0,1,45,1,45,1,10,0,46,0,45,0
2004,3,28,3,51,10,5,5.6,0,,TURKEY:  ASKALE,39.847,40.874,140,0,0,0,0,12,1,0,1,50,1,50,1,0,0,12,0,50,0
2004,7,1,22,30,9,5,5.1,0,,TURKEY:  DOGUBEYAZIT,39.766,43.979,140,18,1,0,0,21,1,0,0,0,0,0,0,18,0,21,0,0,0
2004,7,30,7,14,7,5,4.0,0,,TURKEY:  DOGUBEYAZIT,39.634,43.966,140,1,1,0,0,5,1,0,1,0,0,0,0,1,0,5,0,0,0
2004,8,4,3,1,7,10,5.6,0,,TURKEY:  BODRUM,36.833,27.815,140,0,0,0,0,15,1,0,0,0,0,0,0,0,0,15,0,0,0
2004,8,11,15,48,26,7,5.7,0,,"TURKEY:  ELAZIG, SIVRICE",38.377,39.261,140,1,1,0,0,11,1,0,1,0,0,0,0,1,0,11,0,0,0
2004,12,20,23,2,12,5,5.4,0,,TURKEY:  MARMARIS,37.042,28.206,140,0,0,0,0,3,1,0,1,0,0,0,0,0,0,3,0,0,0
2005,1,25,16,44,16,41,5.9,0,,TURKEY:  HAKKARI,37.622,43.703,140,2,1,0,0,22,1,0,1,0,0,0,0,2,0,22,0,0,0
2005,3,12,7,36,12,11,5.6,0,,"TURKEY:  CAT, KARLIOVA",39.44,40.978,140,0,0,0,0,16,1,0,2,0,0,0,0,0,0,16,0,0,0
2005,3,14,1,55,55,5,5.8,0,,TURKEY:  EASTERN:  BINGOL PROVINCE,39.354,40.89,140,0,0,0,0,18,1,0,3,0,2,0,2,0,0,18,0,0,0
2005,7,30,21,45,0,5,5.3,0,,"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI",39.437,33.089,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,10,20,21,40,4,10,5.9,0,,TURKEY:  IZMIR,38.152,26.751,140,1,1,0,0,15,1,0,1,0,2,0,2,1,0,15,0,0,0
2005,11,26,15,56,55,9,4.4,0,,TURKEY:  DOGANYOL,38.26,38.814,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,12,24,3,56,7,14,4.3,0,,TURKEY:  AKHISAR,38.804,26.783,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
