year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2003,1,20,8,43,6,33,7.3,0,,"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,1,20,39,56,24,8.1,0,,SOLOMON ISLANDS,-8.466,157.043,170,2,1,0,0,0,0,0,3,300,3,500,3,52,0,0,0,2500,500
2007,9,2,1,5,18,35,7.2,0,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-11.61,165.762,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,10,7,22,18,51,35,7.8,0,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.517,166.382,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,3,21,48,5,26,6.6,0,,SOLOMON ISLANDS,-8.743,157.477,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,3,22,36,27,25,7.1,0,,SOLOMON ISLANDS,-8.799,157.346,170,0,0,0,0,0,0,0,1,16,1,60,2,0,0,0,0,16,60
2010,1,5,12,15,32,15,6.8,0,,SOLOMON ISLANDS,-9.019,157.551,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,25,11,20,27,20,6.4,0,,SOLOMON ISLANDS: GUADALCANAL,-9.694,159.727,170,0,0,0,0,0,0,0,1,26,1,0,0,0,0,0,0,26,0
2013,2,6,1,12,25,24,7.9,8,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.799,165.114,170,0,0,0,0,0,0,0,1,0,0,0,0,10,0,15,2,588,478
2013,2,8,15,26,38,21,7.0,0,,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.928,166.018,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,12,20,14,3,23,7.6,0,,SOLOMON ISLANDS,-11.27,162.148,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,13,12,36,23,39,7.4,0,,SOLOMON ISLANDS,-11.463,162.051,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,10,4,12,54,12,6.7,0,,SOLOMON ISLANDS,-9.307,158.403,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,18,2,28,22,11,7.0,8,,SOLOMON ISLANDS,-10.401,165.141,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,12,8,17,38,46,41,7.8,0,,SOLOMON ISLANDS,-10.665,161.335,170,1,1,0,0,0,0,0,1,191,3,126,3,1,0,0,0,191,126
2016,12,9,19,10,7,21,6.9,0,,SOLOMON ISLANDS,-10.73,161.107,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
