year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2002,1,30,8,42,3,109,5.9,0,,"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,150,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
2002,2,22,19,32,41,7,5.5,0,,"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,9,25,18,14,48,6,5.3,0,,MEXICO:  ACAPULCO,16.87,-100.113,150,0,0,0,0,2,1,0,1,0,0,0,2,0,0,2,0,0,0
2003,1,22,2,6,34,24,7.5,8,,"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,150,29,1,0,0,300,3,0,3,2005,4,6615,4,29,0,300,0,2005,6615
2004,1,1,23,31,50,29,6.1,0,,"MEXICO:  GUERRERO, MEXICO CITY",17.488,-101.303,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,9,10,14,56,8,14,5.8,0,,GULF OF MEXICO,26.319,-86.606,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,4,13,5,42,23,34,6.0,5,,"MEXICO:  GUERRERO, ATOYAC",17.302,-100.198,150,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0
2008,2,9,7,12,5,3,5.1,0,,MEXICO:  BAJA CALIFORNIA,32.456,-115.315,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,12,30,18,48,57,9,5.9,0,,MEXICO:  MEXICALI,32.437,-115.165,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,4,4,22,40,43,4,7.2,0,,MEXICO:  BAJA CALIFORNIA,32.297,-115.278,150,2,1,0,0,233,3,1150,4,0,0,0,3,2,0,233,1150,0,0
2010,6,30,7,22,27,20,6.2,0,,MEXICO:  SAN ANDRES HUAXPALTEPEC,16.396,-97.782,150,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,12,11,1,47,25,54,6.4,0,,MEXICO:  GUERRERO,17.844,-99.963,150,2,1,0,0,5,1,0,2,0,0,70,2,2,0,5,0,0,70
2012,3,20,18,2,47,20,7.4,8,,"MEXICO:  GUERRERO, OAXACA",16.493,-98.231,150,2,1,0,0,13,1,0,3,800,3,0,0,2,0,13,0,800,0
2013,8,21,12,38,7,21,6.2,8,,"MEXICO:  SAN MARCOS, ACAPULCO",16.878,-99.498,150,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0
2014,4,18,14,28,32,24,7.2,6,,MEXICO:  GUERRERO; MEXICO CITY,17.397,-100.972,150,0,0,0,0,0,0,0,1,0,0,127,2,0,0,0,0,0,127
2014,5,8,17,1,21,17,6.4,5,,MEXICO:  TECPAN,17.235,-100.746,150,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2014,7,7,11,23,7,67,6.9,5,,MEXICO; GUATEMALA:  SAN MARCOS,14.728,-92.578,150,3,1,0,0,33,1,0,1,0,1,50,1,3,0,33,0,0,50
2014,7,29,10,46,7,107,6.3,5,,MEXICO:  OAXACA,17.682,-95.653,150,1,1,0,0,1,1,0,2,0,0,0,2,1,0,1,0,0,0
2015,12,17,19,49,5,85,6.6,5,,MEXICO:  COCOTITLAN,15.802,-93.633,150,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,9,8,4,49,19,47,8.2,0,,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",15.022,-93.899,150,98,2,0,0,0,3,2300,4,5000,4,53152,4,98,0,0,2300,5000,53152
2017,9,19,18,14,39,51,7.1,0,,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.584,-98.399,150,369,3,0,0,0,3,6000,4,226,3,27792,4,369,0,0,6000,226,27792
2017,9,23,12,53,2,9,6.1,0,,MEXICO:  OAXACA,16.737,-94.946,150,5,1,0,0,2,1,0,1,11,1,0,0,5,0,2,0,11,0
