year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,2,2,22,58,1,33,5.3,0,,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,140,1,1,0,0,15,1,0,2,100,2,100,2,1,0,15,0,100,300
2002,2,17,13,3,52,33,5.4,0,,IRAN:  BAGHAN,28.093,51.755,140,1,1,0,0,30,1,0,2,0,0,0,0,1,0,30,0,0,0
2002,4,24,19,48,7,33,5.4,0,,IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,140,2,1,0,0,56,2,0,4,0,4,0,4,2,0,56,0,0,0
2002,6,22,2,58,21,10,6.5,8,,IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,140,261,3,0,0,1300,4,300,4,0,4,0,4,261,0,1300,300,4,0
2002,9,2,1,0,3,10,5.2,0,,"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,9,25,22,28,11,10,5.6,0,,IRAN:  MASJED-E SOLEYMAN,31.995,49.329,140,0,0,0,0,5,1,0,2,0,0,0,0,0,0,5,0,0,0
2002,12,24,17,3,2,33,5.2,0,,IRAN:  KERMANSHAH,34.594,47.454,140,0,0,0,0,15,1,0,3,3000,4,3000,4,0,0,15,0,3000,0
2003,1,11,17,45,30,33,5.2,0,,"IRAN:  KAZERUN, NURABAD",29.59,51.474,140,0,0,0,0,0,2,0,3,650,3,650,3,0,0,0,0,650,1350
2003,7,3,14,59,32,41,5.2,0,,"IRAN:  NORTHEASTERN: YAKHAK, BASHIRABAD, BUTEHGAZ",35.476,60.784,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,90
2003,7,10,17,6,37,10,5.8,0,,IRAN:  SOUTHERN: GAJJIABAD,28.355,54.169,140,1,1,0,0,25,1,0,3,3500,4,3500,4,1,0,25,0,3500,0
2003,12,11,16,28,17,33,5.0,0,,IRAN:  WESTERN:  MASJED-E- SOLEYMAN,31.953,49.209,140,0,0,0,0,5,1,0,1,2,1,2,1,0,0,5,0,1,0
2003,12,26,1,56,52,10,6.6,9,,"IRAN:  SOUTHEASTERN:  BAM, BARAVAT",28.995,58.311,140,31000,4,0,0,30000,4,32,4,0,4,0,4,31000,0,30000,32,0,0
2004,1,14,16,58,48,12,5.2,0,,IRAN:  SOUTHERN:  FIRUZABAD,27.695,52.397,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,5,8,4,39,25,67,5.0,0,,IRAN:  KAZERUN,29.881,51.474,140,0,0,0,0,0,0,0,1,4,1,4,1,0,0,0,0,4,6
2004,5,28,12,38,44,17,6.3,0,,"IRAN:  MAZANDARAN, QAZVIN, TEHRAN",36.29,51.61,140,35,1,0,0,400,3,165,4,0,0,0,0,35,0,400,165,0,0
2004,10,7,21,46,20,35,5.6,0,,IRAN:  GOLESTAN,37.125,54.477,140,0,0,0,0,60,2,0,0,0,0,0,0,0,0,60,0,0,0
2004,11,19,23,49,37,37,4.8,0,,IRAN:  W,32.023,48.836,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2004,11,22,4,1,30,36,5.0,0,,"IRAN:  KHORRAMABAD, POL-E DOKHTAR",33.297,47.977,140,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0
2005,1,10,18,47,30,32,5.4,0,,IRAN:  GORGAN,37.103,54.574,140,0,0,0,0,110,3,0,0,0,0,0,0,0,0,110,0,0,0
2005,2,22,2,25,22,14,6.4,0,,IRAN:  KERMAN PROVINCE:  ZARAND,30.754,56.816,140,612,3,0,0,1411,4,0,4,8000,4,8000,4,612,0,1411,0,8000,0
2005,3,13,3,31,23,54,6.0,0,,IRAN:  SARAVAN,27.095,61.887,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,8,9,5,9,20,10,5.1,0,,IRAN:  FIRUZABAD,28.85,52.56,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,11,27,10,22,19,10,6.0,0,,"IRAN:  QESHM, ZIRANG",26.774,55.858,140,13,1,0,0,100,2,0,2,0,0,0,0,13,0,100,0,0,0
2006,2,28,7,31,2,18,6.0,0,,IRAN:  SOUTHERN,28.12,56.865,140,0,0,0,0,6,1,0,2,0,3,0,3,0,0,6,0,0,0
2006,3,25,7,28,57,18,5.9,0,,IRAN:  SOUTHERN,27.574,55.685,140,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
2006,3,31,1,17,0,7,6.1,0,,"IRAN:  WESTERN:  BORUJERD, DORUD",33.5,48.78,140,70,2,0,0,1300,4,0,3,0,3,0,3,70,0,1300,0,0,0
2006,5,7,6,20,53,14,4.1,0,,IRAN:  ZARAND,30.79,56.7,140,0,0,0,0,70,2,0,1,0,1,0,1,0,0,70,0,0,0
2006,6,3,7,15,35,5,5.1,0,,IRAN:  SOUTHERN:  QESHM,26.759,55.843,140,2,1,0,0,4,1,0,1,0,2,0,2,2,0,4,0,0,0
2007,3,6,22,32,6,16,4.7,0,,IRAN:  WESTERN:  DORUD,33.49,48.93,140,0,0,0,0,35,1,0,1,0,0,0,0,0,0,35,0,0,0
2007,6,18,14,29,48,5,5.5,0,,IRAN:  QOM,34.437,50.833,140,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0
2007,8,25,4,24,21,10,5.0,0,,"IRAN:  HADJI ABAD, ORZUIYEH",28.154,56.652,140,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0
2007,11,20,5,20,3,7,4.8,0,,"IRAN:  WESTERN:  QAL' EH-YE TOL, KHUZESTAN",31.68,49.93,140,0,0,0,0,30,1,0,1,0,1,0,1,0,0,30,0,0,0
