year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2003,5,21,18,44,20,12,6.8,10,,"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,15,2266,4,0,0,10261,4,5000,4,43000,4,43000,4,2266,0,10261,5000,43000,0
2003,5,27,17,11,28,8,5.7,0,,"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,15,9,1,0,0,200,3,0,2,0,3,0,0,9,0,200,0,0,0
2004,1,10,18,38,14,10,4.4,0,,"ALGERIA:  NORTHERN:  ALGIERS, BOUMERDES",36.852,3.418,15,0,0,0,0,300,3,0,1,0,0,0,0,0,0,300,0,0,0
2004,12,1,17,42,24,10,4.5,0,,ALGERIA:  BOUMERDAS,36.848,3.448,15,0,0,0,0,15,1,0,1,0,0,0,0,0,0,15,0,0,0
2004,12,5,8,30,59,10,4.5,0,,ALGERIA:  ZEMMOURI,36.865,3.421,15,0,0,0,0,46,1,0,0,0,0,0,0,0,0,46,0,0,0
2006,3,20,19,44,25,10,4.9,0,,ALGERIA:  NORTHERN,36.623,5.328,15,4,1,0,0,9,1,0,0,62,2,62,2,4,0,9,0,62,0
2008,1,9,22,24,3,10,4.6,0,,ALGERIA:  ORAN,35.616,-0.57,15,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
2008,6,6,20,2,56,4,5.5,0,,ALGERIA:  ORAN,35.883,-0.658,15,1,1,0,0,30,1,0,2,0,2,0,2,1,0,30,0,0,0
2010,5,14,12,29,22,2,5.2,0,,ALGERIA:  NORTHERN:  BENI YELLMAN,35.9,4.12,15,2,1,0,0,43,1,0,0,0,0,0,0,2,0,43,0,0,0
2013,5,19,9,7,26,7,4.9,0,,ALGERIA:  ALGIERS,36.703,5.261,15,0,0,0,0,5,1,0,1,0,0,0,2,0,0,5,0,0,0
2013,7,17,3,0,56,10,4.8,0,,ALGERIA:  HAMMAM MELOUANE,36.534,3.086,15,0,0,0,0,11,1,0,1,0,0,0,3,0,0,11,0,0,0
2014,8,1,4,11,4,30,5.5,6,,ALGERIA:  ALGIERS,36.841,3.301,15,6,1,0,0,420,3,0,0,0,0,0,0,6,0,420,0,0,0
2014,12,23,8,0,8,7,4.9,0,,ALGERIA:  BLIDA,36.492,3.025,15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
