year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2002,1,9,6,45,57,33,5.3,0,,TAJIKISTAN:  ROGHUN,38.673,69.902,40,3,1,0,0,50,1,0,2,0,0,209,3,3,0,50,0,0,209
2002,2,3,20,59,27,44,4.9,0,,TAJIKISTAN:  ROGHUN,38.773,69.924,40,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0
2002,4,12,4,0,23,10,5.9,0,,TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,40,50,1,0,0,150,3,0,2,160,3,160,3,50,0,150,0,160,250
2006,7,29,0,11,51,34,5.6,0,,TAJIKISTAN:  PANJ-QUMSANGIR,37.255,68.828,40,3,1,0,0,19,1,0,0,721,3,721,3,3,0,19,0,721,0
2006,8,18,11,45,49,10,4.7,0,,TAJIKISTAN:  DUSHANBE (STALINABAD),38.246,69.22,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,7,21,22,44,13,10,5.2,0,,"TAJIKISTAN:  RASHT, ASHT",38.936,70.485,40,12,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2010,1,2,2,15,12,47,5.1,0,,TAJIKISTAN,38.245,71.467,40,0,0,0,0,0,0,1,2,98,2,1000,3,0,0,0,1,98,1000
2012,5,12,23,48,43,10,5.7,0,,TAJIKISTAN,38.612,70.354,40,1,1,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0
2013,11,10,5,16,36,23,5.2,4,,TAJIKISTAN:  VAHDAT,38.41,68.89,40,0,0,0,0,0,0,0,2,104,3,256,3,0,0,0,0,104,256
2015,12,7,7,51,35,22,7.2,3,,TAJIKISTAN,38.211,72.78,40,2,1,0,0,0,3,5,2,500,3,0,3,2,0,0,5,500,0
2016,7,1,14,58,55,10,5.4,0,,TAJIKISTAN:  RASHT,38.883,70.626,40,0,0,0,0,0,0,0,1,0,0,31,1,0,0,0,0,31,0
