year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2002,9,6,1,21,28,5,6.0,0,,ITALY:  SICILY:  PALERMO,38.381,13.701,130,2,1,0,0,20,1,500,4,0,0,0,2,2,0,20,500,0,0
2002,10,29,10,2,21,10,4.3,8,,ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,130,0,0,0,0,9,1,0,1,0,0,0,2,0,0,9,0,0,0
2002,10,31,10,32,58,10,5.7,0,,"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,130,29,1,0,0,135,3,796,4,0,0,0,4,29,0,135,796,0,0
2003,1,26,19,57,3,7,4.7,7,,"ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA",43.883,11.96,130,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2003,9,14,21,42,51,10,5.3,7,,"ITALY:  LOIANO, MONGHIDORO, MONZUNO",44.329,11.45,130,0,0,0,0,0,2,0,1,0,0,10,1,0,0,0,0,0,10
2004,11,24,22,59,40,17,5.1,0,,ITALY:  NORTHERN:  BRESCIA,45.626,10.559,130,0,0,0,0,9,1,0,2,0,3,0,0,0,0,9,0,0,0
2009,4,6,1,32,39,9,6.3,0,,ITALY:  L'AQUILA,42.334,13.334,130,309,3,0,0,1500,4,2500,4,15000,4,0,0,309,0,1500,2500,15000,0
2009,4,7,17,47,37,15,5.5,0,,ITALY:  L'AQUILA,42.275,13.464,130,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
2012,5,20,2,3,52,6,6.1,0,,ITALY:  EMILIA ROMAGNA:  MIRANDOLA,44.89,11.23,130,7,1,0,0,0,1,0,4,0,0,0,3,7,0,50,0,0,0
2012,5,20,13,18,2,5,5.1,0,,ITALY:  SANT'AGOSTINO,44.831,11.49,130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,5,29,7,0,3,10,5.9,0,,"ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",44.851,11.086,130,17,1,0,0,350,3,15800,4,0,0,0,0,17,0,350,15800,0,0
2016,8,24,1,36,32,4,6.2,8,,"ITALY:  ACCUMOLI, ARQUATA, AMATRICE",42.723,13.188,130,299,3,15,1,368,3,5500,4,0,3,0,2,299,15,368,5500,0,0
2016,10,26,19,18,8,10,6.1,0,,"ITALY:  VISSO, USSITA",42.956,13.067,130,1,1,0,0,0,1,0,1,0,0,1001,4,1,0,0,0,0,1001
2016,10,30,6,40,18,8,6.6,0,,ITALY: NORCIA,42.862,13.096,130,0,0,0,0,12,1,0,1,0,1,0,1,0,0,12,0,0,0
2017,1,18,10,14,11,7,5.7,0,,ITALY:  FARINDOLA,42.601,13.227,130,29,1,0,0,0,0,0,1,0,1,0,0,29,0,0,0,0,0
2017,8,21,18,57,51,9,4.2,0,,ITALY:  ISLAND OF ISCHIA,40.78,13.945,130,2,1,0,0,42,1,0,0,0,1,0,0,2,0,42,0,0,0
