year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2013,7,8,2,13,40.6,10038,60,5.7,0,INDONESIA,,-8.803,113.002,60,0,0,0,0,1,1,0,1,124,3,0,0,0,0,1,0,124,0,INDONESIA:  JAVA
2013,7,17,3,0,56.5,10034,10,4.8,0,ALGERIA,,36.534,3.086,15,0,0,0,0,11,1,0,1,0,0,0,3,0,0,11,0,0,0,ALGERIA:  HAMMAM MELOUANE
2013,7,21,5,9,31.4,10021,17,6.5,0,NEW ZEALAND,,-41.704,174.337,170,0,0,0,0,5,1,0,1,0,0,35,1,0,0,5,0,0,35,NEW ZEALAND:  COOK STRAIT
2013,7,21,23,45,56.6,10018,8,6.0,0,CHINA,,34.512,104.262,30,94,2,5,1,1001,4,1968,4,0,4,22496,4,94,5,1001,0,1968,22496,"CHINA:   GANSU:  DINGXI, MIN"
2013,8,2,21,37,7.0,10295,42,5.2,3,INDIA,,33.297,75.95,60,0,0,0,0,2,1,0,2,0,0,0,3,0,0,2,0,0,0,INDIA:  KASHMIR:  KISHTWAR
2013,8,7,9,6,2.0,10033,0,5.5,0,GREECE,,38.689,22.695,130,0,0,0,0,0,0,0,2,100,2,0,0,0,0,0,0,100,0,"GREECE:  CENTRAL:   PHTHIOTIS, REGGINI"
2013,8,11,21,23,31.0,10296,6,5.7,0,CHINA,,30.046,97.957,40,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,CHINA:  TIBET (XIZANG PROVINCE): QAMDO
2013,8,16,2,31,47.0,10032,12,6.5,6,NEW ZEALAND,,-41.731,174.027,170,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,"NEW ZEALAND:  WELLINGTON, MARLBOROUGH"
2013,8,21,12,38,7.0,10029,21,6.2,8,MEXICO,,16.878,-99.498,150,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,"MEXICO:  SAN MARCOS, ACAPULCO"
2013,8,27,20,44,36.0,10297,10,5.2,0,CHINA,,28.239,99.328,30,0,0,0,0,0,0,0,1,36,1,36,1,0,0,0,0,36,36,CHINA:  YUNNAN PROVINCE: SHANGRI-LA
2013,8,31,0,5,15.0,10031,8,5.8,0,CHINA,,28.243,99.35,30,5,1,0,0,24,1,0,3,600,3,55500,4,5,0,24,0,600,55500,CHINA:  YUNNAN PROVINCE:  BENZILAN
2013,9,7,0,13,57.0,10030,66,6.4,7,GUATEMALA,,14.606,-92.121,100,1,1,0,0,11,1,0,1,3,1,0,0,1,0,11,0,3,0,"GUATEMALA:  COATEPEQUE, QUETZALTENANGO"
2013,9,24,11,30,37.0,10039,15,7.7,4,PAKISTAN,,26.951,65.501,60,825,3,0,0,619,3,0,4,32638,4,14118,4,825,0,619,0,32638,14118,"PAKISTAN:  AWARAN, KECH"
2013,9,25,16,42,,10040,31,7.1,6,PERU,,-16.15,-74.87,160,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,PERU:  AREQUIPA
2013,9,28,7,34,45.0,10043,12,6.8,0,PAKISTAN,,27.183,65.505,60,22,1,0,0,50,1,0,0,0,2,0,2,22,0,50,0,0,0,PAKISTAN: AWARAN
2013,10,12,13,11,35.0,10049,40,6.6,7,GREECE,,35.514,23.252,130,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,GREECE:  CRETE:  CHANIA
2013,10,15,0,12,5.0,10048,19,7.1,7,PHILIPPINES,,9.88,124.117,170,222,3,8,1,976,3,51,4,0,4,0,4,222,8,976,51,0,0,"PHILIPPINES:  BOHOL, CEBU, SIQUIJOR IS"
2013,10,22,5,40,1.0,10050,10,5.5,5,INDONESIA,,5.103,95.971,60,1,1,0,0,2,1,0,1,0,0,160,3,1,0,2,0,0,160,INDONESIA:  BANDA ACEH
2013,10,25,17,10,,10052,10,7.1,4,JAPAN,,37.2,144.6,30,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,JAPAN:  HONSHU:  E COAST
2013,11,10,5,16,36.0,10305,23,5.2,4,TAJIKISTAN,,38.41,68.89,40,0,0,0,0,0,0,0,2,104,3,256,3,0,0,0,0,104,256,TAJIKISTAN:  VAHDAT
2013,11,17,9,4,53.0,10054,10,7.7,0,ANTARCTICA,,-60.274,-46.401,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SCOTIA SEA:  SOUTH ORKNEY ISLANDS
2013,11,22,22,4,4.0,10306,10,5.3,0,CHINA,,44.599,124.168,30,0,0,0,0,0,0,0,2,0,0,5300,4,0,0,0,0,0,5300,CHINA:  JILIN PROVINCE:  SONGYUAN
2013,11,28,13,51,51.0,10056,4,5.7,4,IRAN,,29.275,51.313,140,8,1,0,0,200,3,0,2,250,3,0,1,8,0,200,0,250,0,IRAN:  BORAZJAN
