year,month,day,hour,minute,second,I_D,focal_depth,EQ_primary,intensity,country,state,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged,location_name
2007,1,8,17,21,50.2,7452,18,6.0,0,KYRGYZSTAN,,39.803,70.311,40,0,0,0,0,0,0,0,2,187,3,0,0,0,0,0,0,187,0,KYRGYZSTAN:  ISFARIA
2007,1,9,14,49,48.8,7453,20,4.5,0,CHINA,,37.021,103.911,30,0,0,0,0,0,0,0,3,2000,4,0,0,0,0,0,0,2000,0,CHINA:  GANSU PROVINCE
2007,1,10,17,18,58.3,7454,23,4.7,0,CHINA,,33.259,104.74,30,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,CHINA:  GANSU PROVINCE
2007,1,13,4,23,21.1,7415,10,8.1,0,RUSSIA,,46.243,154.524,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RUSSIA:  KURIL ISLANDS
2007,1,21,7,38,57.0,7455,3,5.1,0,TURKEY,,39.592,42.863,140,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,TURKEY:  E
2007,1,21,11,27,45.0,7456,22,7.5,0,INDONESIA,,1.065,126.282,170,4,1,0,0,4,1,0,1,0,0,0,0,4,0,4,0,0,0,INDONESIA:  MOLUCCA ISLANDS:  N
2007,2,16,7,15,54.0,7462,79,4.9,0,PHILIPPINES,,6.614,126.24,170,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PHILIPPINES:  MINDANAO
2007,2,21,11,5,29.2,7463,10,5.7,0,TURKEY,,38.318,39.267,140,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,"TURKEY:  DOGANKOY, PUTURGE, SIVRICE"
2007,3,6,3,49,38.9,7481,19,6.4,8,INDONESIA,,-0.493,100.498,170,67,2,0,0,826,3,0,3,43719,4,43719,4,67,0,826,0,43719,0,INDONESIA:  SUMATRA:  SOUTHERN
2007,3,6,13,5,12.1,7482,43,5.0,0,COLOMBIA,,2.082,-76.495,160,0,0,0,0,9,1,0,1,9,1,0,0,0,0,9,0,9,0,"COLOMBIA:  CAUCA, SOTARA, PURACE,"
