year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,8,4,21,13,2,10,6.8,6,,"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,50,0,0,0,0,8,1,0,1,0,0,1390,4,0,0,8,0,0,1390
2003,9,27,11,33,25,16,7.3,10,,"RUSSIA:  KOSH-AGACH, UST'-ULAGAN, ONGUDAI, SHEBALINO",50.038,87.813,40,3,1,0,0,5,1,10,3,300,3,0,0,3,0,5,10,300,0
2003,9,29,15,27,1,10,4.4,0,,RUSSIA:  KOSH-AGACH,50.0,87.89,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,10,1,1,3,25,10,6.7,0,,"RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",50.211,87.721,40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2004,5,30,2,52,12,14,4.9,0,,"RUSSIA:  SAKHALIN, YUZHNO, SAKHALINSK",47.311,142.12,50,0,0,0,0,0,0,0,1,0,0,46,1,0,0,0,0,0,46
2006,4,20,23,25,2,22,7.6,0,,RUSSIA:  KORYAKSKIY,60.949,167.089,50,0,0,0,0,40,1,55,4,0,3,0,0,0,0,40,55,0,0
2006,11,15,11,14,13,10,8.3,0,,RUSSIA:  KURIL ISLANDS,46.592,153.266,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,1,13,4,23,21,10,8.1,0,,RUSSIA:  KURIL ISLANDS,46.243,154.524,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,8,2,2,37,42,5,6.2,0,,RUSSIA:  TATAR STRAIT,47.116,141.798,50,2,1,0,0,12,1,0,1,11,1,20,1,2,0,12,0,11,20
2008,7,5,2,12,4,633,7.7,0,,RUSSIA:  SEA OF OKHOTSK,53.882,152.886,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,8,27,1,35,32,16,6.2,8,,RUSSIA:  LAKE BAYKAL,51.607,104.158,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,10,11,9,6,10,16,5.7,0,,RUSSIA:  CAUCASUS:  CHECHNYA,43.372,46.254,40,13,1,0,0,100,2,0,3,0,0,1027,4,13,0,100,0,0,1027
2009,1,15,17,49,39,36,7.4,0,,RUSSIA:  KURIL ISLANDS,46.857,155.154,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,12,27,15,21,56,15,6.7,0,,RUSSIA:  KYZYL,51.842,95.911,40,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
2012,8,14,2,59,38,583,7.7,0,,RUSSIA:  SAKHALIN ISLAND,49.8,145.064,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,15,3,20,26,0,4.2,0,,RUSSIA:  CHELYABINSK (METEOR EXPLOSION),55.15,61.41,40,0,0,0,0,1000,3,0,3,0,0,4000,4,0,0,1000,0,0,4000
2013,4,19,3,5,52,110,7.2,0,,RUSSIA:  KURIL ISLANDS,46.221,150.788,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,24,5,44,48,598,8.3,0,,RUSSIA:  SEVERO KURILSKIYE,54.892,153.221,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,18,23,2,9,10,5.3,0,,RUSSIA:  KEMEROVO,54.263,86.173,40,0,0,0,0,0,0,0,1,0,0,500,3,0,0,0,0,0,500
2017,7,17,23,34,13,11,7.7,0,,RUSSIA: BERING ISLAND,54.472,168.815,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
