year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2001,1,13,17,33,32,60,7.7,8,,EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.,13.049,-88.66,100,844,3,0,0,4723,4,753,4,108226,4,169632,4,844,0,4723,753,108226,169632
2001,2,13,14,22,5,10,6.6,6,,EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,100,315,3,0,0,3399,4,348,4,41302,4,15706,4,315,0,3399,348,41302,15706
2001,5,8,18,2,16,10,5.7,0,,EL SALVADOR:  CONCHAGUA,13.605,-88.795,100,1,1,0,0,0,0,0,2,84,2,70,2,1,0,0,0,84,70
2011,11,24,21,13,15,43,5.1,0,,EL SALVADOR-GUATEMALA,13.297,-87.898,100,0,0,0,0,0,0,0,1,0,0,80,2,0,0,0,0,0,80
2014,10,14,3,51,46,40,7.3,7,,EL SALVADOR:  GULF OF FONSECA,12.526,-88.123,100,1,1,0,0,0,0,0,1,5,1,41,1,1,0,0,0,5,41
2015,8,9,7,5,38,10,4.5,4,,EL SALVADOR:  ALEGRIA,13.668,-88.478,100,0,0,0,0,4,1,0,2,0,0,92,2,0,0,4,0,0,92
2017,4,10,23,53,58,10,4.8,0,,"EL SALVADOR: SAN SALVADOR,SOYAPANGO",13.753,-89.16,100,1,1,0,0,3,1,0,1,0,0,0,0,1,0,3,0,0,0
