year,month,day,hour,minute,second,focal_depth,EQ_primary,intensity,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,house_destroyed,house_destroyed_description,house_damaged,house_damaged_description,total_deaths,total_missing,total_injuries,total_damage_million_dollars,total_house_destroyed,total_house_damaged
2000,9,3,8,36,30,10,5.0,7,CA,CALIFORNIA:  NAPA,38.379,-122.413,150,0,0,0,0,41,1,50,4,0,0,0,0,0,0,41,50,0,0
2001,2,28,18,54,32,52,6.8,8,WA,"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,150,1,1,0,0,400,3,2000,4,0,0,0,0,1,0,400,2000,0,0
2001,9,9,23,59,18,5,4.2,6,CA,CALIFORNIA:  LOS ANGELES,34.059,-118.387,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,4,20,10,50,47,11,5.2,7,NY,"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,10,23,11,27,19,4,6.7,8,AK,"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,150,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2002,11,3,22,12,41,5,7.9,9,AK,"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,150,0,0,0,0,1,1,56,4,0,0,0,0,0,0,1,56,0,0
2003,2,22,12,19,10,1,5.2,6,CA,CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,4,29,8,59,39,20,4.6,6,AL,"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,6,6,12,29,34,3,4.0,6,KY,KENTUCKY:  BARDWELL,36.87,-88.98,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2003,11,17,6,43,6,33,7.8,0,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,12,22,19,15,56,8,6.6,8,CA,"CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",35.706,-121.102,150,2,1,0,0,40,1,300,4,40,1,0,0,2,0,40,300,0,0
2004,9,28,17,15,24,9,6.0,6,CA,"CALIFORNIA:  CENTRAL: PARKFIELD, SAN MIGUEL",35.819,-120.364,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2005,6,15,2,50,53,10,7.2,4,CA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,26,4,8,37,13,5.6,6,MT,"MONTANA:  DILLON, SILVER STAR, TWIN BRIDGES",45.365,-112.615,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2006,10,15,17,7,49,39,6.7,8,HI,HAWAIIAN ISLANDS,19.878,-155.935,150,0,0,0,0,0,3,73,4,0,0,0,0,0,0,0,73,0,0
